baseDate,baseTime,category,fcstDate,fcstTime,fcstValue,nx,ny
20250630,0500,WAV,20250701,2300,-999,55,124
20250630,0500,PCP,20250701,2300,강수없음,55,124
20250630,0500,REH,20250701,2300,95,55,124
20250630,0500,SNO,20250701,2300,적설없음,55,124
20250630,0500,TMP,20250702,0000,24,55,124
20250630,0500,UUU,20250702,0000,0.4,55,124
20250630,0500,VVV,20250702,0000,2,55,124
20250630,0500,VEC,20250702,0000,191,55,124
20250630,0500,WSD,20250702,0000,2,55,124
20250630,0500,SKY,20250702,0000,3,55,124
20250630,0500,PTY,20250702,0000,0,55,124
20250630,0500,POP,20250702,0000,20,55,124
20250630,0500,WAV,20250702,0000,-999,55,124
20250630,0500,PCP,20250702,0000,강수없음,55,124
20250630,0500,REH,20250702,0000,95,55,124
20250630,0500,SNO,20250702,0000,적설없음,55,124
20250630,0500,TMP,20250702,0100,24,55,124
20250630,0500,UUU,20250702,0100,1.2,55,124
20250630,0500,VVV,20250702,0100,1.3,55,124
20250630,0500,VEC,20250702,0100,223,55,124
20250630,0500,WSD,20250702,0100,1.8,55,124
20250630,0500,SKY,20250702,0100,4,55,124
20250630,0500,PTY,20250702,0100,0,55,124
20250630,0500,POP,20250702,0100,30,55,124
20250630,0500,WAV,20250702,0100,-999,55,124
20250630,0500,PCP,20250702,0100,강수없음,55,124
20250630,0500,REH,20250702,0100,95,55,124
20250630,0500,SNO,20250702,0100,적설없음,55,124
20250630,0500,TMP,20250702,0200,24,55,124
20250630,0500,UUU,20250702,0200,1.4,55,124
20250630,0500,VVV,20250702,0200,1.3,55,124
20250630,0500,VEC,20250702,0200,227,55,124
20250630,0500,WSD,20250702,0200,1.9,55,124
20250630,0500,SKY,20250702,0200,4,55,124
20250630,0500,PTY,20250702,0200,0,55,124
20250630,0500,POP,20250702,0200,30,55,124
20250630,0500,WAV,20250702,0200,-999,55,124
20250630,0500,PCP,20250702,0200,강수없음,55,124
20250630,0500,REH,20250702,0200,95,55,124
20250630,0500,SNO,20250702,0200,적설없음,55,124
20250630,0500,TMP,20250702,0300,24,55,124
20250630,0500,UUU,20250702,0300,1.3,55,124
20250630,0500,VVV,20250702,0300,1.3,55,124
20250630,0500,VEC,20250702,0300,225,55,124
20250630,0500,WSD,20250702,0300,1.8,55,124
20250630,0500,SKY,20250702,0300,4,55,124
20250630,0500,PTY,20250702,0300,0,55,124
20250630,0500,POP,20250702,0300,30,55,124
20250630,0500,WAV,20250702,0300,-999,55,124
